colName,description,unit,dataType,siteName,plotName,sensorMakeModel,methodName,methodNotes,methodDOI,depthTopM,depthBottomM,depthHeight,zeroRef
TadjH_Avg.3.,Temperatures of the target vegetation surfaces in the Heated plots in Degrees C that have been adjusted for radiation from the heaters that has been reflected off the vegetation into the IRTs,deg C,numeric,NA,H6,NA,NA,NA,NA,NA,NA,NA,NA
TtarRCavg_Avg,Average of vegetation temperature in the 3 plots with no heating (C).,deg C,numeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TadjHavg_Avg,Average of vegetation temperature in the 3 plots with heating (C).,deg C,numeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T_Diffrns_Avg.1.,Difference between average Heated plot temperature (adjusted) and average Reference (or Control) plot temperatures for plots C1 and H2,deg C,numeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T_Diffrns_Avg.2.,Difference between average Heated plot temperature (adjusted) and average Reference (or Control) plot temperatures for plots C3 and H4,deg C,numeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T_Diffrns_Avg.3.,Difference between average Heated plot temperature (adjusted) and average Reference (or Control) plot temperatures for plots C5 and H6,deg C,numeric,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PID_out_Avg.1.,Proportional-Integrative-Derivative control variable for the heated plots,NA,numeric,NA,H2,NA,NA,NA,NA,NA,NA,NA,NA
PID_out_Avg.2.,Proportional-Integrative-Derivative control variable for the heated plots,NA,numeric,NA,H4,NA,NA,NA,NA,NA,NA,NA,NA
PID_out_Avg.3.,Proportional-Integrative-Derivative control variable for the heated plots,NA,numeric,NA,H6,NA,NA,NA,NA,NA,NA,NA,NA
PID_lmt_Avg.1.,"PID variable scaled and limited to be within 0 to 10 volts. If you multiply this value by 10, you will have the percentage of full capacity the heaters are on.",NA,numeric,NA,H2,NA,NA,NA,NA,NA,NA,NA,NA
PID_lmt_Avg.2.,"PID variable scaled and limited to be within 0 to 10 volts. If you multiply this value by 10, you will have the percentage of full capacity the heaters are on.",NA,numeric,NA,H4,NA,NA,NA,NA,NA,NA,NA,NA
PID_lmt_Avg.3.,"PID variable scaled and limited to be within 0 to 10 volts. If you multiply this value by 10, you will have the percentage of full capacity the heaters are on.",NA,numeric,NA,H6,NA,NA,NA,NA,NA,NA,NA,NA
ScldOut_Avg.1.,"Scada variable scaled to what is needed by SDM-CV04 to produce 0-10V output. For a CR1000 logger, this is simply multiplying PID_lmt by 1000, but some other loggers have an offset.",NA,numeric,NA,H2,NA,NA,NA,NA,NA,NA,NA,NA
ScldOut_Avg.2.,"Scada variable scaled to what is needed by SDM-CV04 to produce 0-10V output. For a CR1000 logger, this is simply multiplying PID_lmt by 1000, but some other loggers have an offset.",NA,numeric,NA,H4,NA,NA,NA,NA,NA,NA,NA,NA
ScldOut_Avg.3.,"Scada variable scaled to what is needed by SDM-CV04 to produce 0-10V output. For a CR1000 logger, this is simply multiplying PID_lmt by 1000, but some other loggers have an offset.",NA,numeric,NA,H6,NA,NA,NA,NA,NA,NA,NA,NA
TheaterTC_Avg,Surface Temperature of Heater in H4 (C),deg C,numeric,NA,H4,NA,NA,NA,NA,NA,NA,NA,NA








































